"Accepted Symbol","Synonym Symbol","Scientific Name","PLANTS Floristic Area","State and Province","Category","Kingdom","Duration","Growth Habit","Active Growth Period","After Harvest Regrowth Rate","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Leaf Retention","Lifespan","Low Growing Grass","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Drought Tolerance","Fertility Requirement","Fire Tolerance","Moisture Use","Precipitation (Minimum)","Precipitation (Maximum)","Shade Tolerance","Temperature, Minimum (F)","Bloom Period","Propogated by Bulbs","Berry/Nut/Seed Product","Palatable Human"
"ABMA","","Abies magnifica","NA (L48)","USA(CA, NV, NY, OR)","Gymnosperm","Plantae","Perennial","Tree","Spring and Summer","","No","Yes","Brown","No","Dark Green","Moderate","Moderate","Medium","Brown","Yes","Single Stem","Slow","35","150","Yes","Long","No","Erect","None","Yes","Yes","No","Low","Low","Low","Medium","33","64","Tolerant","-23","Late Spring","No","No","No"
"ABPR","","Abies procera","NA (L48)","USA(CA, OR, WA)","Gymnosperm","Plantae","Perennial","Tree","Spring and Summer","","No","No","","No","Dark Green","Dense","Dense","Medium","Purple","Yes","Single Stem","Rapid","25","230","Yes","Long","No","Erect","None","Yes","Yes","No","Low","Low","Low","Low","64","120","Intermediate","-23","Late Spring","No","No","No"
"ABAB70","","Abietinella abietina","NA (L48)","USA(NJ)","Moss","Plantae","","Nonvascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABRON","","Abronia","NA (L48)","CAN(BC), USA(AZ, CA, CO, ID, KS, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY)","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABAM2","","Abronia ameliae","NA (L48)","USA(TX)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABAN","","Abronia angustifolia","NA (L48)","USA(AZ, NM, TX)","Dicot","Plantae","Annual, Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABBI","","Abronia bigelovii","NA (L48)","USA(NM)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABFR2","","Abronia fragrans","NA (L48)","USA(AZ, CO, KS, MT, ND, NE, NM, OK, SD, TX, UT, WA, WY)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABLA2","","Abronia latifolia","NA (L48, CAN)","CAN(BC), USA(CA, OR, WA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABMA2","","Abronia maritima","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
