"Accepted Symbol","Synonym Symbol","Scientific Name","PLANTS Floristic Area","State and Province","Category","Kingdom","Duration","Growth Habit","Active Growth Period","After Harvest Regrowth Rate","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Leaf Retention","Lifespan","Low Growing Grass","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Drought Tolerance","Fertility Requirement","Fire Tolerance","Moisture Use","Precipitation (Minimum)","Precipitation (Maximum)","Shade Tolerance","Temperature, Minimum (F)","Bloom Period","Propogated by Bulbs","Berry/Nut/Seed Product","Palatable Human"
"ECREF2","","Echinocereus reichenbachii ssp. fitchii","NA (L48)","USA(TX)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECREF2","ECREF","Echinocereus reichenbachii var. fitchii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECREP2","","Echinocereus reichenbachii ssp. perbellus","NA (L48)","USA(CO, NM, OK, TX)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECREP2","ECREP","Echinocereus reichenbachii var. perbellus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECST2","","Echinocereus stramineus","NA (L48)","USA(NM, TX)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECST2","ECENS","Echinocereus enneacanthus var. stramineus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECTR","","Echinocereus triglochidiatus","NA (L48)","USA(AZ, CO, NM)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECVI2","","Echinocereus viridiflorus","NA (L48)","USA(CO, KS, NE, NM, OK, SD, TX, WY)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECVID","","Echinocereus viridiflorus var. davisii","NA (L48)","USA(TX)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECVIV","","Echinocereus viridiflorus var. viridiflorus","NA (L48)","USA(CO, KS, NE, NM, OK, SD, TX, WY)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECVIV","ECCHN","Echinocereus chloranthus var. neocapillus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECHIN4","","Echinochloa","NA (L48, PB)","CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY)","Monocot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECCO2","","Echinochloa colona","NA (L48, GU, PB), HI, PR, VI","USA+(PR, VI), USA(AL, AR, AZ, CA, FL, GA, HI, IL, KS, KY, LA, MA, MD, MO, MS, MT, NC, NJ, NM, OK, OR, PA, PW, SC, TN, TX, VA, VT, WA)","Monocot","Plantae","Annual","Graminoid","Spring","","No","Yes","Green","No","Green","Porous","Porous","Fine","Yellow","No","Bunch","Moderate","","2.0","No","","No","Semi-Erect","None","Yes","Yes","Yes","Low","Medium","Medium","Medium","12","60","Intolerant","37","Late Spring","No","No","No"
"ECCR","","Echinochloa crus-galli","NA (L48, CAN, GU, PR, SPM), HI","CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA+(PR), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY)","Monocot","Plantae","Annual","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECCR2","","Echinochloa crus-pavonis","NA (L48), PR","CAN(BC), USA+(PR), USA(AL, AR, AZ, CA, CO, FL, KS, LA, MD, MO, MS, NM, NV, OK, OR, TX, UT)","Monocot","Plantae","Annual","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECHA3","","Echinochloa haploclada","","","Monocot","Plantae","","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECMU2","","Echinochloa muricata","NA (L48, CAN), VI","CAN(MB, NB, NS, ON, QC, SK), USA+(VI), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Monocot","Plantae","Annual","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECPY2","","Echinochloa pyramidalis","","","Monocot","Plantae","","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECST4","","Echinochloa stagnina","PR","USA+(PR)","Monocot","Plantae","Annual, Perennial","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECWA","","Echinochloa walteri","NA (L48, CAN), HI","CAN(ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, HI, IA, IL, IN, KY, LA, MA, MD, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WI, WV)","Monocot","Plantae","Annual","Graminoid","Summer","Moderate","No","No","Green","No","Green","Dense","Porous","Medium","Yellow","No","Bunch","Moderate","","6.5","No","","No","Erect","None","No","No","Yes","Low","Low","Medium","High","28","50","Intolerant","32","Summer","No","No","No"
"ECLO","","Echinocystis lobata","NA (L48, CAN)","CAN(AB, BC, MB, NB, NS, ON, PE, QC, SK), USA(AR, AZ, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SD, TX, UT, VA, VT, WA, WI, WV, WY)","Dicot","Plantae","Annual","Vine, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECBE2","","Echinodorus berteroi","NA (L48), HI, PR, VI","USA+(PR, VI), USA(AR, AZ, CA, FL, GA, HI, IA, IL, IN, KS, KY, LA, MO, MS, NE, NM, NV, OH, OK, SD, TN, TX, UT, WI)","Monocot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECBE2","ECRO","Echinodorus rostratus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECCO3","","Echinodorus cordifolius","NA (L48)","USA(AL, AR, DC, FL, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OK, SC, TN, TX, VA)","Monocot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECIN2","","Echinomastus intertextus","NA (L48)","USA(AZ, NM, TX)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECIN2","NEIN2","Neolloydia intertexta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECJO3","","Echinomastus johnsonii","NA (L48)","USA(AZ, CA, NV, UT)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECJO3","SCJO","Sclerocactus johnsonii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECMA2","","Echinomastus mariposensis","NA (L48)","USA(TX)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECMA2","NEMA2","Neolloydia mariposensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECTE5","","Echinoplaca tetrapla","NA (L48)","USA(LA)","Lichen","Fungi","","Lichenous","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECHIN8","","Echinops","NA (L48)","CAN(MB, NB, ON, QC, SK), USA(CA, CO, CT, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, NH, NY, OR, PA, VA, VT, WA, WI, WV, WY)","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECHIN11","","Echinopsis","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECAT2","","Echinopsis atacamensis","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECAT2","CEAT2","Cereus atacamensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECCA6","","Echinopsis candicans","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECCA6","TRCA32","Trichocereus candicans","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECPA8","","Echinopsis pasacana","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECPA8","TRPA27","Trichocereus pasacanus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECRO3","","Echinopsis rojasii","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECTU4","","Echinopsis turbinata","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECHIU","","Echium","NA (L48)","CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(AK, AR, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECCA5","","Echium candicans","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECPI2","","Echium pininana","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECPL","","Echium plantagineum","NA (L48, CAN)","CAN(MB, NF, ON), USA(CA, MA, NY, OR, PA)","Dicot","Plantae","Annual, Biennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECVU","","Echium vulgare","NA (L48, AK, CAN, SPM)","CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(AK, AR, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Dicot","Plantae","Annual, Biennial, Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECPR","","Eclipta prostrata","NA (L48, CAN, GU, PB), HI, PR, VI","CAN(ON), USA+(PR, VI), USA(AL, AR, AZ, CA, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NM, NY, OH, OK, PA, PW, SC, SD, TN, TX, VA, WI, WV)","Dicot","Plantae","Annual, Perennial","Forb/herb","Summer","","No","No","White","No","Green","Moderate","Porous","Fine","","No","Bunch","Moderate","","3.2","No","Moderate","No","Erect","None","Yes","Yes","Yes","Low","Low","None","Medium","35","50","Intermediate","32","Summer","No","No","No"
"ECPR","ECAL","Eclipta alba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EDCH","","Edgeworthia chrysantha","NA (L48)","USA(GA)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EDGR","","Edithcolea grandis","","","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EGPR","","Egletes prostrata","VI","USA+(VI)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EHCH","","Ehrendorferia chrysantha","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EHCH","DICH","Dicentra chrysantha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EHAN","","Ehretia anacua","NA (L48)","USA(TX)","Dicot","Plantae","Perennial","Tree, Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EHRHA","","Ehrharta","NA (L48)","USA(CA, HI, TX)","Monocot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EHCA","","Ehrharta calycina","NA (L48), HI","USA(CA, HI, TX)","Monocot","Plantae","Perennial","Graminoid","Fall, Winter and Spring","Moderate","No","Yes","Yellow","No","Green","Moderate","Moderate","Fine","Brown","No","Colonizing","Rapid","","4.0","No","Short","Yes","Erect","None","No","Yes","Yes","Low","Medium","Medium","Medium","24","80","Intolerant","17","Spring","No","No","No"
"EHER","","Ehrharta erecta","NA (L48), HI","USA(CA, HI)","Monocot","Plantae","Perennial","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EHLO3","","Ehrharta longiflora","NA (L48)","USA(CA)","Monocot","Plantae","Perennial","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EICHH","","Eichhornia","NA (L48, PB)","CAN(ON), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IL, KY, LA, MA, MO, MS, NC, NJ, NY, OR, PW, SC, TN, TX, UM, VA, WA)","Monocot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EIAZ2","","Eichhornia azurea","NA (L48), PR","USA+(PR), USA(FL)","Monocot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EICR","","Eichhornia crassipes","NA (L48, CAN, GU, PB), HI, PR, VI","CAN(ON), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IL, KY, LA, MA, MO, MS, NC, NJ, NY, OR, PW, SC, TN, TX, UM, VA, WA)","Monocot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EIDI","","Eichhornia diversifolia","PR","USA+(PR)","Monocot","Plantae","Perennial","Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELAEA","","Elaeagnus","NA (L48)","CAN(AB, BC, MB, NB, NS, NT, NU, ON, QC, SK, YT), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Dicot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELAN","","Elaeagnus angustifolia","NA (L48, CAN)","CAN(AB, BC, MB, NB, NS, ON, QC, SK), USA(AZ, CA, CO, CT, IA, ID, IL, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WY)","Dicot","Plantae","Perennial","Tree, Shrub","Spring and Summer","","No","No","Yellow","Yes","White-Gray","Dense","Moderate","Coarse","Yellow","Yes","Single Stem","Rapid","35","35","No","Long","No","Erect","None","Yes","Yes","No","High","Medium","Low","High","12","40","Intolerant","-38","Early Summer","No","No","Yes"
"ELCO","","Elaeagnus commutata","NA (L48, AK, CAN)","CAN(AB, BC, MB, NT, NU, ON, QC, SK, YT), USA(AK, CO, ID, KY, MD, MN, MT, ND, NY, RI, SD, TX, UT, WA, WY)","Dicot","Plantae","Perennial","Shrub","Spring and Summer","","Yes","No","Yellow","No","White-Gray","Dense","Moderate","Coarse","Red","Yes","Multiple Stem","Rapid","12","12","No","Moderate","No","Erect","None","Yes","Yes","No","High","Low","Medium","Low","16","45","Intolerant","-38","Early Summer","No","No","Yes"
"ELMU","","Elaeagnus multiflora","NA (L48)","USA(AL, CT, IL, KY, MD, MO, NC, NH, NY, OH, RI, VA)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELPU2","","Elaeagnus pungens","NA (L48)","USA(AL, DC, FL, GA, KY, LA, MA, MS, NC, SC, TN, TX, VA)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELUM","","Elaeagnus umbellata","NA (L48, CAN), HI","CAN(ON), USA(AL, AR, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, MT, NC, NE, NH, NJ, NY, OH, OR, PA, RI, SC, TN, VA, VT, WA, WI, WV)","Dicot","Plantae","Perennial","Shrub","Spring and Summer","","Yes","No","Yellow","Yes","White-Gray","Dense","Moderate","Coarse","Red","Yes","Multiple Stem","Rapid","15","15","No","Short","No","Rounded","None","Yes","Yes","Yes","High","Low","Low","Medium","28","45","Intolerant","-23","Early Spring","No","No","Yes"
"ELUMP","","Elaeagnus umbellata var. parvifolia","NA (L48), HI","USA(AL, AR, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, MT, NC, NE, NH, NJ, NY, OH, OR, PA, RI, SC, TN, VA, VT, WA, WI, WV)","Dicot","Plantae","Perennial","Shrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELEOC","","Eleocharis","GL (L48, GL, PB)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA+(PR, VI)","Monocot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELAC","","Eleocharis acicularis","NA (L48, AK, CAN, GL, GU, PB, SPM)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Monocot","Plantae","Annual, Perennial","Graminoid","Spring, Summer, Fall","Slow","No","No","White","No","","Porous","Porous","","Brown","No","Rhizomatous","Moderate","","0.7","No","Moderate","No","Erect","None","No","Yes","Yes","Low","Medium","Medium","Medium","14","50","Intolerant","-23","Mid Summer","No","No","No"
"ELBA2","","Eleocharis baldwinii","NA (L48)","USA(AL, FL, GA, LA, MS, NC, SC, TX, VA)","Monocot","Plantae","Perennial","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELCE","","Eleocharis cellulosa","NA (L48), PR, VI","USA+(PR, VI), USA(AL, AR, FL, GA, LA, MS, NC, SC, TX)","Monocot","Plantae","Perennial","Graminoid","Spring, Summer, Fall","Moderate","No","No","Green","No","","Porous","Porous","","Brown","No","Bunch","Moderate","","2.6","No","Moderate","No","Erect","None","Yes","Yes","Yes","None","Medium","High","High","36","60","Intolerant","12","Mid Summer","No","No","No"
"ELDU3","","Eleocharis dulcis","NA (L48, GU, PB)","USA(GA, PW)","Monocot","Plantae","Perennial","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELEQ","","Eleocharis equisetoides","NA (L48, CAN)","CAN(ON), USA(AL, AR, CT, DE, FL, GA, IL, IN, LA, MA, MD, MI, MO, MS, NC, NJ, NY, RI, SC, TN, TX, VA, WI)","Monocot","Plantae","Perennial","Graminoid","Summer and Fall","","No","No","Green","No","","Porous","Porous","","Brown","No","Bunch","Moderate","","3.2","No","Long","No","Erect","None","Yes","Yes","Yes","None","Low","High","High","35","60","Intolerant","-33","Mid Summer","No","No","No"
"ELER","","Eleocharis erythropoda","NA (L48, AK, CAN), HI","CAN(AB, BC, MB, NB, NT, ON, QC, SK), USA(AK, AR, CT, DC, DE, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, SD, TN, TX, VA, VT, WI, WV)","Monocot","Plantae","Perennial","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELER","ELCA8","Eleocharis calva","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELMA5","","Eleocharis macrostachya","NA (L48, AK, CAN)","CAN(AB, BC, MB, ON, QC, SK, YT), USA(AK, AR, AZ, CA, CO, IA, ID, IL, KS, LA, MN, MO, MS, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY)","Monocot","Plantae","Perennial","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELMO2","","Eleocharis montevidensis","NA (L48)","USA(AL, AZ, CA, CO, FL, GA, KS, LA, MS, NC, NM, OK, SC, TX)","Monocot","Plantae","Perennial","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELOB2","","Eleocharis obtusa","NA (L48, CAN), HI","CAN(BC, MB, NB, NS, ON, PE, QC), USA(AL, AR, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV)","Monocot","Plantae","Annual, Perennial","Graminoid","Spring","","No","Yes","Yellow","No","Dark Green","Moderate","Porous","Fine","Brown","No","Rhizomatous","Moderate","","1.6","No","Short","No","Erect","None","Yes","Yes","Yes","Low","Medium","Medium","Medium","18","60","Intolerant","37","Summer","No","No","No"
"ELOV","","Eleocharis ovata","NA (CAN), HI","CAN(AB, BC, NB, NF, NS, ON, PE, QC), USA(CT, HI, IA, IL, IN, KY, MA, ME, MI, MN, MO, NH, NJ, NY, OH, OR, PA, RI, VT, WA, WI)","Monocot","Plantae","Annual","Graminoid","Summer and Fall","","No","No","Green","No","","Porous","Porous","","Brown","No","Bunch","Moderate","","1.5","No","","No","Semi-Erect","None","Yes","Yes","Yes","None","Low","High","Medium","32","60","Intolerant","47","Late Summer","No","No","No"
"ELPA3","","Eleocharis palustris","NA (L48, AK, CAN, GL, SPM), HI","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Monocot","Plantae","Perennial","Graminoid","Spring","","No","Yes","Brown","No","Dark Green","Moderate","Porous","Fine","Brown","No","Rhizomatous","Moderate","","1.3","No","Moderate","No","Erect","None","Yes","No","Yes","Low","Medium","Medium","High","16","60","Intolerant","-38","Late Spring","No","No","No"
"ELPAP","","Eleocharis palustris var. palustris","NA (L48, AK, CAN, GL, SPM), HI","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Monocot","Plantae","Perennial","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELPAP","ELSM","Eleocharis smallii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELPA5","","Eleocharis parvula","NA (L48, CAN, SPM)","CAN(BC, LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(AL, AR, AZ, CA, CO, CT, DE, FL, GA, IA, ID, IL, KS, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WY)","Monocot","Plantae","Annual, Perennial","Graminoid","Summer and Fall","","No","No","Green","No","","Porous","Porous","","Brown","No","Stoloniferous","Moderate","","1.2","No","Moderate","No","Erect","None","Yes","Yes","Yes","None","Low","High","Medium","18","60","Intolerant","-38","Mid Summer","No","No","No"
"ELQU","","Eleocharis quadrangulata","NA (L48, CAN)","CAN(ON), USA(AL, AR, CA, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NH, NJ, NY, OH, OK, OR, PA, SC, TN, TX, VA, WI, WV)","Monocot","Plantae","Perennial","Graminoid","Spring, Summer, Fall","","No","No","Green","No","","Porous","Porous","","Brown","No","Bunch","Moderate","","4.0","No","Moderate","No","Erect","None","Yes","Yes","Yes","None","Low","High","High","24","60","Intolerant","-28","Late Spring","No","No","No"
"ELQU2","","Eleocharis quinqueflora","NA (L48, AK, CAN, GL, SPM)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AZ, CA, CO, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, SD, UT, VT, WA, WI, WY)","Monocot","Plantae","Perennial","Graminoid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELQU2","ELPA6","Eleocharis pauciflora","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
