"Accepted Symbol","Synonym Symbol","Scientific Name","PLANTS Floristic Area","State and Province","Category","Kingdom","Duration","Growth Habit","Active Growth Period","After Harvest Regrowth Rate","Bloat","C:N Ratio","Coppice Potential","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Known Allelopath","Leaf Retention","Lifespan","Low Growing Grass","Nitrogen Fixation","Resprout Ability","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Fire Tolerance","Frost Free Days, Minimum","Hedge Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Planting Density per Acre, Minimum","Planting Density per Acre, Maximum","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Fruit/Seed Abundance","Fruit/Seed Period Begin","Fruit/Seed Period End","Fruit/Seed Persistence","Propogated by Bare Root","Propogated by Bulbs","Propogated by Container","Propogated by Corms","Propogated by Cuttings","Propogated by Seed","Propogated by Sod","Propogated by Sprigs","Propogated by Tubers","Seeds per Pound","Seed Spread Rate","Seedling Vigor","Small Grain","Vegetative Spread Rate","Berry/Nut/Seed Product","Christmas Tree Product","Fodder Product","Fuelwood Product","Lumber Product","Naval Store Product","Nursery Stock Product","Palatable Browse Animal","Palatable Graze Animal","Palatable Human","Post Product","Protein Potential","Pulpwood Product","Veneer Product"
"AGPA","","Agastache pallidiflora","NA (L48)","USA(AZ, CO, NM, TX)","Dicot","Plantae","Perennial","Subshrub, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGPAN","","Agastache pallidiflora ssp. neomexicana","NA (L48)","USA(NM, TX)","Dicot","Plantae","Perennial","Forb/herb, Subshrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGPA2","","Agastache parvifolia","NA (L48)","USA(CA)","Dicot","Plantae","Perennial","Subshrub, Forb/herb","Spring and Summer","Slow","None","Medium","No","No","No","Red","Yes","Dark Green","Moderate","Porous","Coarse","Green","No","Rhizomatous","Moderate","","2.0","No","No","Moderate","No","None","No","Erect","None","Yes","Yes","No","Low","Low","No","High","Low","Medium","130","None","Low","5.6","6.2","2700","4800","12","65","12","Low","Intolerant","-23","Late Spring","No Known Source","Low","Summer","Summer","No","No","No","No","No","No","Yes","No","Yes","No","","Slow","Low","No","Slow","No","No","No","","No","No","No","Low","Low","No","No","Low","No","No"
"AGSC","","Agastache scrophulariifolia","NA (L48, CAN)","CAN(ON), USA(CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, NE, NH, NJ, NY, OH, PA, SC, SD, TN, VA, VT, WI, WV)","Dicot","Plantae","Perennial","Subshrub, Forb/herb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGSC","AGSCM","Agastache scrophulariifolia var. mollis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGUR","","Agastache urticifolia","NA (L48, CAN)","CAN(BC), USA(CA, CO, ID, MT, NV, OR, UT, WA, WY)","Dicot","Plantae","Perennial","Forb/herb, Subshrub","Spring and Summer","Moderate","None","Medium","No","No","No","Red","Yes","Dark Green","Dense","Porous","Coarse","Green","No","Rhizomatous","Rapid","","5.0","No","No","Long","No","None","No","Erect","None","Yes","Yes","Yes","Low","Medium","No","Low","Medium","High","120","None","Medium","6.0","8.0","2700","4800","18","24","12","Low","Intermediate","-33","Late Spring","Contracting Only","Low","Summer","Summer","No","No","No","No","No","No","Yes","No","Yes","No","","Slow","Low","No","Slow","No","No","Yes","","No","No","No","Low","High","No","No","Medium","No","No"
"AGURU","","Agastache urticifolia var. urticifolia","NA (L48, CAN)","CAN(BC), USA(CA, CO, ID, MT, NV, OR, UT, WA, WY)","Dicot","Plantae","Perennial","Forb/herb, Subshrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGWR","","Agastache wrightii","NA (L48)","USA(AZ, NM)","Dicot","Plantae","Perennial","Forb/herb, Subshrub","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGAU4","","Agathis australis","","","Gymnosperm","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGAVE","","Agave","NA (L48, PB)","USA+(PR, VI), USA(AZ, CA, FL, HI, LA, NM, NV, PW, TX, UM, UT)","Monocot","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
